shift_id,staff_id,staff_type,department_id,shift_date,shift_type,hours_worked
SHF-100977,NUR-657050,Nurse,DEP-019,2024-03-08,Afternoon,8.0
SHF-101036,EMP-517436,Employee,DEP-004,2025-06-15,Morning,10.0
SHF-101037,NUR-188529,Nurse,DEP-020,2023-07-16,Morning,12.0
SHF-101041,NUR-848832,Nurse,DEP-019,2025-08-14,Night,8.0
SHF-101095,NUR-841204,Nurse,DEP-004,2024-11-15,Night,10.0
SHF-101148,DOC-894559,Doctor,DEP-010,2024-08-13,Afternoon,12.0
SHF-101158,NUR-847718,Nurse,DEP-010,2023-03-24,Night,12.0
SHF-101186,EMP-224914,Employee,DEP-012,2026-03-04,Night,12.0
SHF-101204,DOC-347300,Doctor,DEP-018,2026-02-05,Night,8.0
SHF-101215,NUR-542447,Nurse,DEP-009,2024-07-02,Night,8.0
SHF-101239,DOC-231613,Doctor,DEP-003,2024-11-04,Night,12.0
SHF-101253,NUR-762126,Nurse,DEP-011,2026-06-03,Morning,8.0
SHF-101289,DOC-960974,Doctor,DEP-001,2023-04-12,Night,8.0
SHF-101316,NUR-370535,Nurse,DEP-002,2026-05-25,Afternoon,12.0
SHF-101339,NUR-643505,Nurse,DEP-011,2025-03-23,Afternoon,10.0
SHF-101390,NUR-451713,Nurse,DEP-012,2025-04-12,Night,8.0
SHF-101404,EMP-334518,Employee,DEP-015,2024-03-24,Night,8.0
SHF-101433,NUR-438542,Nurse,DEP-006,2025-11-23,Afternoon,8.0
SHF-101458,EMP-912409,Employee,DEP-008,2023-04-26,Afternoon,10.0
SHF-101473,DOC-252774,Doctor,DEP-006,2025-07-09,Afternoon,10.0
SHF-101495,NUR-110835,Nurse,DEP-017,2024-05-05,Morning,12.0
SHF-101518,NUR-137993,Nurse,DEP-008,2024-01-26,Morning,10.0
SHF-101538,EMP-383529,Employee,DEP-018,2026-04-28,Morning,10.0
SHF-101539,EMP-767867,Employee,DEP-001,2023-01-11,Morning,8.0
SHF-101558,EMP-963880,Employee,DEP-008,2023-01-13,Afternoon,8.0
SHF-101586,DOC-595065,Doctor,DEP-002,2025-12-05,Night,12.0
SHF-101590,NUR-558914,Nurse,DEP-012,2024-11-16,Afternoon,8.0
SHF-101638,DOC-996986,Doctor,DEP-010,2025-08-24,Night,10.0
SHF-101673,EMP-649267,Employee,DEP-012,2025-10-02,Afternoon,10.0
SHF-101735,EMP-785404,Employee,DEP-013,2024-10-14,Morning,10.0
SHF-101738,EMP-569767,Employee,DEP-011,2024-03-26,Morning,12.0
SHF-101745,NUR-678915,Nurse,DEP-001,2024-03-20,Afternoon,10.0
SHF-101769,NUR-322443,Nurse,DEP-020,2023-02-23,Afternoon,10.0
SHF-101820,NUR-840647,Nurse,DEP-008,2025-07-15,Night,8.0
SHF-101826,EMP-545193,Employee,DEP-010,2026-06-24,Morning,10.0
SHF-101828,NUR-624961,Nurse,DEP-009,2025-04-25,Afternoon,10.0
SHF-101839,NUR-849904,Nurse,DEP-014,2025-05-24,Morning,12.0
SHF-101878,DOC-433802,Doctor,DEP-002,2023-07-29,Night,12.0
SHF-101882,EMP-366541,Employee,DEP-004,2025-03-18,Afternoon,8.0
SHF-101902,NUR-728866,Nurse,DEP-015,2025-07-31,Afternoon,10.0
SHF-101930,DOC-386460,Doctor,DEP-011,2024-10-14,Night,8.0
SHF-101941,NUR-432898,Nurse,DEP-018,2024-12-20,Afternoon,10.0
SHF-101943,DOC-163016,Doctor,DEP-001,2024-06-25,Morning,8.0
SHF-101950,EMP-651488,Employee,DEP-014,2023-08-20,Night,12.0
SHF-101976,EMP-469131,Employee,DEP-018,2025-09-28,Morning,10.0
SHF-102003,NUR-698302,Nurse,DEP-008,2025-01-21,Night,10.0
SHF-102050,NUR-398519,Nurse,DEP-019,2025-02-20,Night,8.0
SHF-102087,NUR-683781,Nurse,DEP-003,2024-10-31,Night,10.0
SHF-102116,NUR-160277,Nurse,DEP-003,2023-02-24,Night,8.0
SHF-102156,NUR-400656,Nurse,DEP-002,2026-07-20,Afternoon,12.0
SHF-102172,NUR-674009,Nurse,DEP-012,2023-02-12,Afternoon,12.0
SHF-102222,EMP-879365,Employee,DEP-011,2025-04-30,Morning,8.0
SHF-102230,DOC-715187,Doctor,DEP-010,2023-10-27,Morning,10.0
SHF-102351,NUR-520463,Nurse,DEP-011,2023-08-14,Night,8.0
SHF-102392,NUR-158825,Nurse,DEP-009,2024-09-29,Morning,8.0
SHF-102468,DOC-633119,Doctor,DEP-012,2023-05-23,Afternoon,8.0
SHF-102470,EMP-915720,Employee,DEP-008,2024-01-08,Night,8.0
SHF-102483,DOC-349444,Doctor,DEP-018,2026-05-18,Night,10.0
SHF-102512,EMP-766337,Employee,DEP-006,2023-12-09,Morning,10.0
SHF-102608,EMP-569767,Employee,DEP-017,2026-01-31,Night,12.0
SHF-102610,EMP-336877,Employee,DEP-020,2024-06-28,Afternoon,8.0
SHF-102617,NUR-754145,Nurse,DEP-005,2026-03-21,Night,8.0
SHF-102639,DOC-732740,Doctor,DEP-017,2024-02-20,Afternoon,8.0
SHF-102670,NUR-929638,Nurse,DEP-012,2025-12-19,Morning,12.0
SHF-102780,NUR-322443,Nurse,DEP-015,2023-01-13,Night,12.0
SHF-102787,NUR-477100,Nurse,DEP-015,2023-12-09,Night,8.0
SHF-102807,DOC-595830,Doctor,DEP-012,2023-09-10,Morning,10.0
SHF-102896,EMP-748576,Employee,DEP-019,2024-11-20,Morning,10.0
SHF-102918,NUR-809807,Nurse,DEP-017,2023-08-25,Night,10.0
SHF-102967,DOC-783772,Doctor,DEP-009,2024-07-30,Afternoon,12.0
SHF-103130,NUR-776766,Nurse,DEP-014,2024-03-28,Afternoon,12.0
SHF-103175,EMP-914128,Employee,DEP-002,2024-07-03,Afternoon,8.0
SHF-103198,NUR-174869,Nurse,DEP-010,2023-09-10,Afternoon,12.0
SHF-103201,EMP-473235,Employee,DEP-004,2023-04-12,Morning,8.0
SHF-103207,NUR-205883,Nurse,DEP-019,2026-05-21,Afternoon,12.0
SHF-103263,NUR-916315,Nurse,DEP-016,2024-07-31,Afternoon,8.0
SHF-103305,DOC-349444,Doctor,DEP-019,2023-04-29,Morning,10.0
SHF-103354,DOC-123675,Doctor,DEP-020,2023-09-05,Night,10.0
SHF-103409,EMP-928851,Employee,DEP-007,2025-07-30,Morning,8.0
SHF-103481,NUR-279058,Nurse,DEP-020,2026-06-03,Afternoon,8.0
SHF-103608,EMP-399846,Employee,DEP-002,2026-01-20,Night,10.0
SHF-103706,DOC-869621,Doctor,DEP-002,2023-04-18,Afternoon,12.0
SHF-103795,EMP-654558,Employee,DEP-008,2024-01-21,Morning,12.0
SHF-103807,NUR-469893,Nurse,DEP-013,2023-02-03,Night,8.0
SHF-103816,NUR-426011,Nurse,DEP-001,2026-07-14,Afternoon,12.0
SHF-103843,DOC-646856,Doctor,DEP-020,2026-08-07,Afternoon,10.0
SHF-103878,EMP-985560,Employee,DEP-020,2026-03-04,Night,8.0
SHF-103901,NUR-931497,Nurse,DEP-018,2024-06-14,Morning,8.0
SHF-103907,NUR-247020,Nurse,DEP-014,2023-01-04,Night,12.0
SHF-103928,NUR-264261,Nurse,DEP-010,2025-10-26,Morning,10.0
SHF-103961,NUR-110835,Nurse,DEP-012,2023-08-30,Morning,8.0
SHF-103973,DOC-901429,Doctor,DEP-019,2026-08-01,Morning,8.0
SHF-103990,EMP-536202,Employee,DEP-012,2024-03-01,Night,10.0
SHF-104059,NUR-167173,Nurse,DEP-005,2025-08-21,Morning,12.0
SHF-104095,NUR-136756,Nurse,DEP-003,2025-06-29,Morning,10.0
SHF-104105,NUR-561315,Nurse,DEP-018,2025-11-04,Morning,12.0
SHF-104121,NUR-188187,Nurse,DEP-016,2024-12-16,Night,8.0
SHF-104127,NUR-593378,Nurse,DEP-020,2023-01-29,Night,10.0
SHF-104164,NUR-795102,Nurse,DEP-012,2024-11-10,Night,8.0
SHF-104307,EMP-339802,Employee,DEP-018,2024-07-13,Night,10.0
SHF-104316,EMP-931245,Employee,DEP-012,2024-12-04,Afternoon,8.0
SHF-104463,NUR-911397,Nurse,DEP-005,2024-03-08,Night,8.0
SHF-104485,NUR-477100,Nurse,DEP-012,2023-04-14,Afternoon,8.0
SHF-104635,DOC-736783,Doctor,DEP-003,2025-10-03,Night,10.0
SHF-104674,NUR-948715,Nurse,DEP-010,2025-03-05,Night,10.0
SHF-104683,DOC-519506,Doctor,DEP-011,2025-12-01,Morning,10.0
SHF-104818,DOC-960974,Doctor,DEP-004,2026-06-06,Afternoon,10.0
SHF-104847,NUR-545168,Nurse,DEP-009,2024-02-05,Morning,10.0
SHF-104870,NUR-809582,Nurse,DEP-001,2024-01-26,Morning,12.0
SHF-104933,NUR-309338,Nurse,DEP-005,2024-11-26,Morning,10.0
SHF-104974,EMP-963029,Employee,DEP-005,2024-08-16,Night,8.0
SHF-104981,NUR-539595,Nurse,DEP-003,2026-05-11,Morning,8.0
SHF-105128,EMP-301932,Employee,DEP-005,2023-05-31,Night,12.0
SHF-105178,EMP-892627,Employee,DEP-004,2023-02-21,Morning,12.0
SHF-105200,EMP-405432,Employee,DEP-007,2024-03-23,Afternoon,10.0
SHF-105203,EMP-465122,Employee,DEP-015,2025-12-10,Night,10.0
SHF-105251,NUR-663509,Nurse,DEP-007,2025-03-07,Night,8.0
SHF-105309,DOC-609792,Doctor,DEP-016,2023-12-03,Morning,12.0
SHF-105341,EMP-626571,Employee,DEP-005,2026-05-22,Afternoon,8.0
SHF-105373,DOC-901429,Doctor,DEP-014,2023-01-21,Morning,8.0
SHF-105430,NUR-770636,Nurse,DEP-011,2023-10-02,Night,10.0
SHF-105512,NUR-285422,Nurse,DEP-015,2025-06-01,Morning,8.0
SHF-105603,NUR-586508,Nurse,DEP-003,2024-07-16,Afternoon,10.0
SHF-105607,NUR-257364,Nurse,DEP-020,2023-09-11,Night,12.0
SHF-105626,NUR-312641,Nurse,DEP-011,2023-01-18,Night,8.0
SHF-105636,DOC-251129,Doctor,DEP-017,2023-03-25,Morning,10.0
SHF-105696,NUR-598223,Nurse,DEP-017,2024-01-06,Afternoon,12.0
SHF-105784,NUR-129741,Nurse,DEP-018,2023-03-05,Afternoon,10.0
SHF-105812,DOC-609792,Doctor,DEP-002,2026-05-23,Afternoon,10.0
SHF-105815,NUR-768578,Nurse,DEP-017,2025-08-01,Afternoon,10.0
SHF-105839,EMP-265805,Employee,DEP-007,2023-08-12,Afternoon,12.0
SHF-105985,DOC-931810,Doctor,DEP-012,2025-04-29,Night,8.0
SHF-105989,NUR-771742,Nurse,DEP-010,2025-02-08,Afternoon,8.0
SHF-106026,DOC-245880,Doctor,DEP-010,2024-09-01,Morning,12.0
SHF-106197,DOC-646164,Doctor,DEP-010,2025-11-14,Morning,8.0
SHF-106231,EMP-224378,Employee,DEP-001,2024-12-22,Morning,12.0
SHF-106254,NUR-532412,Nurse,DEP-002,2026-02-03,Morning,10.0
SHF-106283,NUR-988434,Nurse,DEP-002,2024-10-13,Afternoon,8.0
SHF-106300,NUR-131727,Nurse,DEP-018,2026-03-13,Night,10.0
SHF-106311,NUR-147181,Nurse,DEP-016,2025-03-22,Morning,8.0
SHF-106351,EMP-912322,Employee,DEP-012,2024-10-17,Night,8.0
SHF-106360,NUR-404481,Nurse,DEP-012,2023-03-06,Afternoon,12.0
SHF-106459,NUR-466263,Nurse,DEP-019,2024-01-21,Night,12.0
SHF-106497,NUR-137993,Nurse,DEP-010,2025-11-12,Afternoon,12.0
SHF-106607,NUR-758035,Nurse,DEP-014,2026-02-08,Afternoon,8.0
SHF-106620,NUR-942035,Nurse,DEP-009,2023-01-15,Afternoon,10.0
SHF-106715,EMP-626571,Employee,DEP-002,2023-07-19,Night,12.0
SHF-106720,EMP-981093,Employee,DEP-013,2025-08-24,Night,8.0
SHF-106813,EMP-947103,Employee,DEP-008,2023-05-11,Afternoon,10.0
SHF-106877,EMP-296562,Employee,DEP-012,2024-05-27,Morning,10.0
SHF-106900,DOC-518223,Doctor,DEP-006,2026-06-06,Morning,10.0
SHF-106928,EMP-483526,Employee,DEP-018,2025-11-29,Night,8.0
SHF-106936,NUR-977457,Nurse,DEP-005,2024-01-22,Morning,12.0
SHF-106998,NUR-596078,Nurse,DEP-015,2023-05-20,Night,12.0
SHF-107062,NUR-410285,Nurse,DEP-004,2024-10-10,Night,12.0
SHF-107082,NUR-386730,Nurse,DEP-011,2023-09-14,Morning,8.0
SHF-107114,DOC-691194,Doctor,DEP-019,2025-01-16,Night,12.0
SHF-107131,NUR-215950,Nurse,DEP-014,2024-12-24,Night,8.0
SHF-107208,EMP-835378,Employee,DEP-003,2025-02-20,Afternoon,10.0
SHF-107232,DOC-513050,Doctor,DEP-013,2024-03-03,Morning,12.0
SHF-107282,EMP-349803,Employee,DEP-019,2026-01-03,Afternoon,10.0
SHF-107294,NUR-545168,Nurse,DEP-001,2025-02-27,Afternoon,8.0
SHF-107316,DOC-606110,Doctor,DEP-011,2023-02-22,Afternoon,12.0
SHF-107432,EMP-720714,Employee,DEP-015,2025-02-04,Afternoon,8.0
SHF-107476,NUR-430077,Nurse,DEP-009,2024-10-06,Night,12.0
SHF-107498,NUR-211828,Nurse,DEP-017,2026-03-22,Night,12.0
SHF-107514,EMP-892627,Employee,DEP-020,2025-03-27,Afternoon,8.0
SHF-107623,NUR-197475,Nurse,DEP-009,2025-12-03,Morning,10.0
SHF-107676,NUR-577565,Nurse,DEP-017,2025-04-17,Afternoon,8.0
SHF-107691,NUR-831239,Nurse,DEP-017,2025-07-22,Night,10.0
SHF-107701,NUR-539595,Nurse,DEP-007,2023-03-24,Afternoon,12.0
SHF-107707,EMP-590563,Employee,DEP-012,2024-04-27,Afternoon,10.0
SHF-107765,NUR-686129,Nurse,DEP-008,2024-12-22,Night,10.0
SHF-107781,EMP-733534,Employee,DEP-001,2023-10-01,Morning,12.0
SHF-107799,EMP-124119,Employee,DEP-018,2026-07-16,Morning,10.0
SHF-107811,NUR-424810,Nurse,DEP-005,2025-10-03,Night,8.0
SHF-107924,NUR-919772,Nurse,DEP-004,2024-08-22,Night,8.0
SHF-108108,NUR-709963,Nurse,DEP-002,2023-09-13,Afternoon,10.0
SHF-108160,DOC-853343,Doctor,DEP-018,2024-03-09,Afternoon,10.0
SHF-108177,NUR-334567,Nurse,DEP-019,2025-12-18,Night,10.0
SHF-108236,EMP-569845,Employee,DEP-020,2026-06-21,Night,10.0
SHF-108303,DOC-203881,Doctor,DEP-007,2023-02-23,Morning,10.0
SHF-108351,NUR-702044,Nurse,DEP-009,2024-01-15,Morning,12.0
SHF-108368,EMP-578354,Employee,DEP-014,2024-11-18,Afternoon,8.0
SHF-108372,EMP-808956,Employee,DEP-003,2023-04-17,Morning,10.0
SHF-108386,NUR-221750,Nurse,DEP-018,2026-05-03,Afternoon,8.0
SHF-108502,NUR-353542,Nurse,DEP-016,2025-05-08,Morning,8.0
SHF-108594,NUR-576156,Nurse,DEP-011,2024-03-01,Afternoon,10.0
SHF-108599,DOC-249751,Doctor,DEP-018,2023-01-08,Afternoon,8.0
SHF-108632,EMP-119359,Employee,DEP-008,2024-04-12,Morning,12.0
SHF-108672,DOC-551219,Doctor,DEP-013,2023-11-07,Morning,12.0
SHF-108708,NUR-109273,Nurse,DEP-002,2025-12-29,Morning,12.0
SHF-108722,EMP-733534,Employee,DEP-015,2023-06-24,Afternoon,10.0
SHF-108785,EMP-931245,Employee,DEP-010,2026-05-29,Morning,12.0
SHF-108792,NUR-327022,Nurse,DEP-013,2025-02-05,Morning,12.0
SHF-108803,DOC-691194,Doctor,DEP-014,2023-12-19,Morning,8.0
SHF-108831,DOC-772494,Doctor,DEP-001,2026-05-21,Afternoon,8.0
SHF-108936,EMP-558871,Employee,DEP-020,2024-09-12,Night,12.0
SHF-109035,EMP-632233,Employee,DEP-013,2023-03-06,Night,8.0
SHF-109052,EMP-794069,Employee,DEP-003,2023-10-06,Morning,12.0
SHF-109105,NUR-120959,Nurse,DEP-013,2024-09-03,Morning,8.0
SHF-109128,EMP-720714,Employee,DEP-009,2023-03-13,Morning,8.0
SHF-109145,EMP-931245,Employee,DEP-005,2024-03-18,Night,10.0
SHF-109314,NUR-826673,Nurse,DEP-005,2023-12-09,Afternoon,10.0
SHF-109339,NUR-162294,Nurse,DEP-016,2023-12-09,Night,8.0
SHF-109382,NUR-289009,Nurse,DEP-004,2023-03-02,Morning,10.0
SHF-109484,NUR-188754,Nurse,DEP-001,2026-03-03,Afternoon,8.0
SHF-109494,NUR-236258,Nurse,DEP-018,2026-01-06,Night,10.0
SHF-109544,NUR-129741,Nurse,DEP-018,2025-12-06,Night,8.0
SHF-109556,EMP-820921,Employee,DEP-008,2026-02-14,Morning,10.0
SHF-109562,NUR-587684,Nurse,DEP-008,2024-06-01,Night,8.0
SHF-109564,EMP-556829,Employee,DEP-017,2023-07-02,Morning,12.0
SHF-109681,NUR-438542,Nurse,DEP-012,2025-12-04,Afternoon,10.0
SHF-109792,NUR-624961,Nurse,DEP-015,2024-10-08,Night,12.0
SHF-109793,DOC-901429,Doctor,DEP-002,2023-04-13,Night,12.0
SHF-109799,DOC-472843,Doctor,DEP-019,2026-03-24,Afternoon,8.0
SHF-109800,NUR-629641,Nurse,DEP-020,2026-02-10,Night,8.0
SHF-109854,DOC-658922,Doctor,DEP-011,2024-01-20,Afternoon,10.0
SHF-109857,EMP-253125,Employee,DEP-003,2025-03-26,Afternoon,8.0
SHF-109882,NUR-337481,Nurse,DEP-006,2025-11-21,Afternoon,12.0
SHF-109888,NUR-197654,Nurse,DEP-017,2024-07-01,Morning,8.0
SHF-109891,DOC-425744,Doctor,DEP-002,2024-07-28,Morning,8.0
SHF-110056,NUR-776281,Nurse,DEP-010,2024-09-23,Afternoon,12.0
SHF-110069,NUR-276546,Nurse,DEP-004,2026-02-07,Afternoon,12.0
SHF-110124,NUR-424810,Nurse,DEP-007,2024-08-12,Night,10.0
SHF-110151,EMP-145000,Employee,DEP-019,2023-05-17,Morning,8.0
SHF-110187,NUR-572020,Nurse,DEP-005,2026-02-03,Afternoon,12.0
SHF-110193,NUR-704519,Nurse,DEP-012,2024-10-07,Morning,10.0
SHF-110268,DOC-920819,Doctor,DEP-003,2023-12-02,Night,10.0
SHF-110288,NUR-542193,Nurse,DEP-011,2025-04-27,Afternoon,12.0
SHF-110308,NUR-952982,Nurse,DEP-020,2026-05-28,Night,12.0
SHF-110350,DOC-163016,Doctor,DEP-013,2023-09-22,Night,12.0
SHF-110365,EMP-965194,Employee,DEP-015,2025-06-10,Night,10.0
SHF-110386,NUR-338320,Nurse,DEP-011,2026-06-12,Morning,8.0
SHF-110436,NUR-707740,Nurse,DEP-012,2025-07-14,Night,8.0
SHF-110561,NUR-958495,Nurse,DEP-012,2023-05-06,Night,12.0
SHF-110584,NUR-174869,Nurse,DEP-016,2026-07-07,Night,10.0
SHF-110586,NUR-612934,Nurse,DEP-020,2024-02-13,Morning,10.0
SHF-110623,NUR-278899,Nurse,DEP-004,2025-06-10,Night,10.0
SHF-110634,EMP-221522,Employee,DEP-010,2023-02-06,Afternoon,10.0
SHF-110675,EMP-955543,Employee,DEP-011,2023-01-18,Morning,8.0
SHF-110682,DOC-340935,Doctor,DEP-011,2023-12-06,Night,8.0
SHF-110749,NUR-272074,Nurse,DEP-008,2024-05-03,Night,10.0
SHF-110824,DOC-456403,Doctor,DEP-002,2023-01-02,Night,10.0
SHF-110848,EMP-175501,Employee,DEP-004,2024-08-28,Morning,10.0
SHF-110860,EMP-912409,Employee,DEP-001,2025-12-01,Morning,8.0
SHF-110869,EMP-213631,Employee,DEP-007,2025-07-08,Night,8.0
SHF-110930,DOC-684047,Doctor,DEP-004,2023-10-18,Morning,8.0
SHF-110967,DOC-606110,Doctor,DEP-007,2024-03-07,Morning,10.0
SHF-110992,DOC-203881,Doctor,DEP-017,2025-03-12,Afternoon,12.0
SHF-111028,NUR-482824,Nurse,DEP-012,2025-04-01,Morning,12.0
SHF-111037,EMP-932235,Employee,DEP-001,2024-11-28,Night,10.0
SHF-111096,NUR-276081,Nurse,DEP-008,2025-10-16,Night,12.0
SHF-111100,NUR-952982,Nurse,DEP-010,2025-01-31,Night,8.0
SHF-111167,NUR-470605,Nurse,DEP-016,2023-11-05,Night,10.0
SHF-111172,NUR-710703,Nurse,DEP-020,2024-08-11,Afternoon,10.0
SHF-111212,EMP-559047,Employee,DEP-011,2025-07-21,Night,10.0
SHF-111255,EMP-501739,Employee,DEP-002,2024-03-06,Afternoon,12.0
SHF-111264,NUR-703898,Nurse,DEP-013,2026-07-04,Afternoon,10.0
SHF-111279,EMP-442533,Employee,DEP-010,2026-04-22,Morning,10.0
SHF-111292,NUR-767964,Nurse,DEP-007,2026-02-19,Afternoon,10.0
SHF-111319,EMP-851464,Employee,DEP-015,2025-11-29,Night,12.0
SHF-111322,NUR-432898,Nurse,DEP-015,2023-03-13,Afternoon,10.0
SHF-111324,DOC-708229,Doctor,DEP-016,2023-06-15,Morning,10.0
SHF-111359,DOC-595830,Doctor,DEP-005,2025-07-10,Morning,10.0
SHF-111499,DOC-305052,Doctor,DEP-004,2023-11-27,Afternoon,12.0
SHF-111631,EMP-124955,Employee,DEP-019,2026-05-15,Morning,12.0
SHF-111687,NUR-759538,Nurse,DEP-020,2026-05-04,Morning,8.0
SHF-111694,NUR-188529,Nurse,DEP-010,2024-08-14,Afternoon,12.0
SHF-111718,NUR-469120,Nurse,DEP-009,2025-01-28,Morning,12.0
SHF-111758,EMP-915469,Employee,DEP-017,2024-04-18,Night,10.0
SHF-111793,NUR-921048,Nurse,DEP-016,2026-02-01,Morning,12.0
SHF-111817,NUR-282327,Nurse,DEP-013,2025-03-01,Afternoon,12.0
SHF-111846,DOC-425744,Doctor,DEP-020,2024-04-20,Afternoon,12.0
SHF-111896,DOC-518223,Doctor,DEP-010,2023-12-21,Night,8.0
SHF-111945,NUR-692472,Nurse,DEP-019,2026-05-12,Afternoon,8.0
SHF-111952,NUR-826673,Nurse,DEP-002,2026-03-01,Afternoon,8.0
SHF-111969,NUR-405694,Nurse,DEP-014,2025-10-21,Afternoon,8.0
SHF-112048,NUR-797220,Nurse,DEP-009,2026-04-12,Afternoon,8.0
SHF-112063,EMP-810651,Employee,DEP-011,2026-08-06,Night,8.0
SHF-112095,EMP-225995,Employee,DEP-003,2024-08-14,Morning,12.0
SHF-112128,NUR-532412,Nurse,DEP-002,2024-12-07,Morning,12.0
SHF-112139,NUR-434128,Nurse,DEP-010,2023-01-22,Afternoon,10.0
SHF-112141,DOC-624290,Doctor,DEP-017,2026-01-15,Morning,12.0
SHF-112180,EMP-128086,Employee,DEP-014,2024-08-19,Afternoon,8.0
SHF-112201,NUR-165543,Nurse,DEP-016,2025-06-24,Night,10.0
SHF-112251,DOC-621820,Doctor,DEP-012,2024-09-19,Night,8.0
SHF-112284,DOC-844815,Doctor,DEP-008,2023-06-30,Night,12.0
SHF-112316,EMP-494061,Employee,DEP-010,2025-07-27,Night,10.0
SHF-112326,NUR-284358,Nurse,DEP-010,2024-12-05,Morning,12.0
SHF-112346,DOC-903988,Doctor,DEP-020,2023-04-04,Afternoon,12.0
SHF-112422,NUR-304599,Nurse,DEP-018,2026-01-25,Morning,8.0
SHF-112454,DOC-880516,Doctor,DEP-001,2024-08-16,Morning,12.0
SHF-112455,NUR-943577,Nurse,DEP-011,2024-01-09,Night,10.0
SHF-112516,NUR-735733,Nurse,DEP-009,2025-06-06,Morning,12.0
SHF-112534,EMP-375028,Employee,DEP-018,2025-12-23,Night,10.0
SHF-112550,DOC-593276,Doctor,DEP-013,2025-08-12,Morning,12.0
SHF-112670,NUR-398519,Nurse,DEP-019,2024-06-19,Night,12.0
SHF-112734,NUR-144613,Nurse,DEP-008,2024-05-23,Afternoon,12.0
SHF-112748,NUR-306926,Nurse,DEP-009,2026-05-12,Afternoon,8.0
SHF-112798,DOC-587006,Doctor,DEP-014,2023-09-17,Morning,8.0
SHF-112834,EMP-355677,Employee,DEP-002,2023-02-10,Night,8.0
SHF-112845,NUR-156045,Nurse,DEP-012,2023-11-28,Afternoon,8.0
SHF-112895,NUR-479775,Nurse,DEP-016,2024-05-08,Night,10.0
SHF-112925,EMP-254695,Employee,DEP-020,2023-10-25,Night,10.0
SHF-112975,DOC-428141,Doctor,DEP-010,2024-08-12,Night,10.0
SHF-112986,NUR-528557,Nurse,DEP-012,2026-04-01,Morning,12.0
SHF-113089,EMP-947103,Employee,DEP-017,2025-12-30,Night,10.0
SHF-113115,EMP-420164,Employee,DEP-002,2023-05-17,Morning,10.0
SHF-113128,EMP-412919,Employee,DEP-014,2025-03-31,Morning,8.0
SHF-113261,DOC-920819,Doctor,DEP-013,2023-02-07,Afternoon,10.0
SHF-113269,DOC-650020,Doctor,DEP-001,2026-01-20,Morning,10.0
SHF-113295,NUR-571961,Nurse,DEP-016,2024-10-03,Night,10.0
SHF-113329,DOC-428418,Doctor,DEP-012,2025-05-01,Afternoon,8.0
