room_id,room_number,room_type,floor_number,bed_capacity,department_id,status
RMN-283799,181,Standard,2,2,DEP-002,Available
RMN-283987,738,Standard,6,2,DEP-016,Available
RMN-285294,814,Standard,6,2,DEP-016,Available
RMN-285506,649,Recovery,4,2,DEP-006,Available
RMN-286703,662,OR,1,1,DEP-001,Occupied
RMN-287365,767,NICU,3,1,DEP-003,Available
RMN-288780,453,Standard,2,2,DEP-020,Available
RMN-295554,660,ICU,2,1,DEP-020,Available
RMN-296863,691,Standard,3,2,DEP-007,Occupied
RMN-297272,851,ICU,4,1,DEP-006,Maintenance
RMN-297613,203,Isolation,5,1,DEP-009,Available
RMN-299133,157,ICU,6,1,DEP-016,Available
RMN-299776,388,OR,1,1,DEP-012,Available
RMN-301391,675,OR,3,1,DEP-011,Occupied
RMN-304487,998,Standard,6,2,DEP-016,Available
RMN-308421,140,OR,3,1,DEP-007,Occupied
RMN-310088,308,OR,1,1,DEP-012,Maintenance
RMN-310428,446,ICU,3,1,DEP-011,Available
RMN-314404,673,ICU,2,1,DEP-004,Available
RMN-314966,596,OR,4,1,DEP-015,Occupied
RMN-316238,638,OR,6,1,DEP-016,Occupied
RMN-317585,544,Private,1,1,DEP-019,Available
RMN-317726,464,Standard,6,2,DEP-010,Occupied
RMN-318799,385,ICU,5,1,DEP-009,Available
RMN-322544,909,Standard,3,2,DEP-011,Occupied
RMN-323912,557,Standard,3,2,DEP-003,Available
RMN-325007,801,NICU,2,1,DEP-020,Occupied
RMN-326074,548,ICU,2,1,DEP-004,Occupied
RMN-326835,749,Standard,2,2,DEP-002,Available
RMN-330109,919,ER,2,2,DEP-020,Available
RMN-330206,236,ICU,2,1,DEP-004,Maintenance
RMN-330817,432,ER,3,2,DEP-014,Available
RMN-333350,174,ICU,6,1,DEP-013,Available
RMN-334067,661,Recovery,3,2,DEP-014,Available
RMN-335248,630,ICU,6,1,DEP-013,Available
RMN-335449,424,Standard,3,2,DEP-011,Available
RMN-335566,983,OR,6,1,DEP-016,Available
RMN-338896,719,NICU,2,1,DEP-004,Occupied
RMN-343204,604,Private,4,1,DEP-006,Occupied
RMN-344258,898,Private,5,1,DEP-009,Occupied
RMN-344368,679,ER,5,2,DEP-008,Maintenance
RMN-346334,172,Private,5,1,DEP-009,Occupied
RMN-347079,230,ICU,1,1,DEP-001,Available
RMN-347242,153,ER,3,2,DEP-007,Occupied
RMN-347889,992,Standard,6,2,DEP-013,Occupied
RMN-349576,537,ER,2,2,DEP-020,Occupied
RMN-352494,293,ER,1,2,DEP-001,Occupied
RMN-353203,194,Standard,4,2,DEP-005,Occupied
RMN-354273,962,Standard,1,2,DEP-001,Occupied
RMN-357408,196,Isolation,3,1,DEP-014,Available
RMN-359672,118,ICU,3,1,DEP-003,Occupied
RMN-359855,220,Standard,5,2,DEP-008,Available
RMN-360340,939,OR,6,1,DEP-010,Available
RMN-361471,876,NICU,2,1,DEP-004,Available
RMN-363751,611,Private,4,1,DEP-015,Available
RMN-364166,828,Private,6,1,DEP-013,Occupied
RMN-365930,733,Standard,6,2,DEP-016,Available
RMN-373358,519,OR,3,1,DEP-007,Available
RMN-376182,524,Standard,2,2,DEP-002,Occupied
RMN-376433,591,Standard,3,2,DEP-011,Maintenance
RMN-381867,864,Standard,4,2,DEP-006,Occupied
RMN-383067,254,ER,4,2,DEP-015,Available
RMN-383354,144,NICU,5,1,DEP-008,Occupied
RMN-385139,985,OR,1,1,DEP-019,Occupied
RMN-385451,800,ICU,5,1,DEP-009,Occupied
RMN-386628,581,Private,6,1,DEP-013,Available
RMN-387640,784,Private,3,1,DEP-014,Available
RMN-389518,967,ICU,5,1,DEP-008,Available
RMN-392424,463,Standard,2,2,DEP-020,Occupied
RMN-392702,750,NICU,2,1,DEP-004,Available
RMN-392802,482,Isolation,6,1,DEP-013,Available
RMN-394489,757,OR,5,1,DEP-009,Available
RMN-396496,594,ICU,5,1,DEP-008,Available
RMN-396803,848,Private,4,1,DEP-006,Available
RMN-399771,701,Private,3,1,DEP-011,Available
RMN-401479,339,Isolation,2,1,DEP-020,Available
RMN-402987,113,Standard,2,2,DEP-002,Occupied
RMN-405593,496,Standard,2,2,DEP-020,Available
RMN-406964,484,Standard,2,2,DEP-002,Available
RMN-407814,215,Private,3,1,DEP-007,Available
RMN-410481,969,Standard,6,2,DEP-016,Available
RMN-410793,319,Private,5,1,DEP-009,Available
RMN-411644,367,Standard,5,2,DEP-009,Available
RMN-413772,841,Private,4,1,DEP-006,Occupied
RMN-415521,923,Private,2,1,DEP-004,Occupied
RMN-417974,951,Standard,3,2,DEP-003,Available
RMN-418335,243,Standard,4,2,DEP-006,Occupied
RMN-419017,789,ICU,4,1,DEP-005,Maintenance
RMN-419895,839,NICU,3,1,DEP-014,Available
RMN-425600,788,ICU,1,1,DEP-019,Available
RMN-425955,231,Standard,6,2,DEP-016,Available
RMN-428002,682,ER,6,2,DEP-016,Available
RMN-428440,125,ICU,3,1,DEP-011,Maintenance
RMN-430507,850,Isolation,4,1,DEP-017,Occupied
RMN-432315,316,Private,6,1,DEP-013,Occupied
RMN-432922,590,ICU,4,1,DEP-017,Available
RMN-433023,716,NICU,3,1,DEP-011,Occupied
RMN-435759,526,OR,2,1,DEP-020,Available
RMN-439430,822,OR,3,1,DEP-011,Available
RMN-442956,659,Standard,3,2,DEP-011,Occupied
RMN-444472,132,Private,1,1,DEP-019,Available
RMN-444660,442,Private,4,1,DEP-017,Available
RMN-445210,907,OR,2,1,DEP-004,Available
RMN-448536,408,Isolation,1,1,DEP-012,Available
RMN-449755,334,Standard,4,2,DEP-017,Occupied
RMN-452222,392,ICU,6,1,DEP-010,Available
RMN-452385,831,Isolation,6,1,DEP-016,Occupied
RMN-454009,244,Standard,6,2,DEP-010,Occupied
RMN-454995,165,Standard,3,2,DEP-007,Occupied
RMN-457269,431,ICU,6,1,DEP-010,Available
RMN-457933,124,Standard,4,2,DEP-005,Available
RMN-459134,564,Private,3,1,DEP-003,Occupied
RMN-460083,313,ICU,3,1,DEP-011,Occupied
RMN-460226,436,Standard,5,2,DEP-008,Available
RMN-462219,178,Private,4,1,DEP-006,Occupied
RMN-462989,184,Private,6,1,DEP-013,Available
RMN-465718,783,Private,1,1,DEP-012,Available
RMN-468344,683,Isolation,4,1,DEP-006,Available
RMN-468886,707,Standard,4,2,DEP-005,Available
RMN-469070,478,Private,3,1,DEP-003,Occupied
RMN-469169,342,Standard,4,2,DEP-006,Available
RMN-469862,182,Standard,6,2,DEP-010,Occupied
RMN-471337,575,NICU,4,1,DEP-017,Available
RMN-471648,680,ICU,5,1,DEP-009,Available
RMN-472478,389,Private,1,1,DEP-012,Available
RMN-473111,602,Standard,1,2,DEP-019,Available
RMN-473632,541,ICU,2,1,DEP-002,Occupied
RMN-474162,551,Standard,4,2,DEP-015,Available
RMN-477779,531,OR,1,1,DEP-012,Occupied
RMN-479359,616,Isolation,4,1,DEP-017,Available
RMN-479367,361,OR,3,1,DEP-007,Occupied
RMN-482104,483,Private,6,1,DEP-016,Available
RMN-482273,509,Private,4,1,DEP-017,Available
RMN-482497,959,Private,1,1,DEP-012,Occupied
RMN-482893,421,Standard,2,2,DEP-004,Occupied
RMN-483708,405,Private,2,1,DEP-002,Available
RMN-486461,836,Standard,3,2,DEP-014,Available
RMN-490825,384,Private,1,1,DEP-001,Available
RMN-492654,512,Standard,2,2,DEP-018,Occupied
RMN-493755,111,Private,6,1,DEP-016,Available
RMN-495490,506,Standard,6,2,DEP-013,Available
RMN-497544,862,Standard,4,2,DEP-017,Available
RMN-500849,197,Private,4,1,DEP-017,Occupied
RMN-502573,737,ICU,3,1,DEP-011,Maintenance
RMN-503424,805,Private,2,1,DEP-002,Occupied
RMN-503850,368,Standard,2,2,DEP-018,Occupied
RMN-505776,472,Standard,6,2,DEP-016,Occupied
RMN-506237,600,Private,4,1,DEP-006,Occupied
RMN-506396,717,Standard,6,2,DEP-010,Occupied
RMN-507139,445,OR,5,1,DEP-008,Available
RMN-511578,875,Standard,5,2,DEP-008,Available
RMN-512172,859,Standard,4,2,DEP-015,Occupied
RMN-512265,262,Private,2,1,DEP-004,Maintenance
RMN-512890,135,Standard,6,2,DEP-010,Occupied
RMN-514196,647,Standard,1,2,DEP-001,Occupied
RMN-514634,485,Private,2,1,DEP-004,Occupied
RMN-516277,266,Standard,1,2,DEP-019,Occupied
RMN-516900,970,OR,3,1,DEP-007,Occupied
RMN-519345,114,Private,5,1,DEP-008,Available
RMN-519555,991,Standard,2,2,DEP-018,Available
RMN-519636,958,OR,4,1,DEP-006,Available
RMN-519997,778,Private,4,1,DEP-017,Occupied
RMN-520322,218,Isolation,3,1,DEP-007,Available
RMN-520490,644,Standard,4,2,DEP-005,Available
RMN-522751,808,Standard,6,2,DEP-016,Available
RMN-525162,641,Private,6,1,DEP-010,Occupied
RMN-525298,667,Standard,3,2,DEP-007,Occupied
RMN-526925,522,ER,4,2,DEP-017,Available
RMN-528380,787,Recovery,5,2,DEP-008,Available
RMN-529330,858,Standard,4,2,DEP-006,Occupied
RMN-532287,721,ER,3,2,DEP-007,Available
RMN-541960,574,Standard,2,2,DEP-002,Occupied
RMN-542974,584,Standard,5,2,DEP-009,Available
RMN-545657,514,OR,4,1,DEP-015,Occupied
RMN-547983,149,Standard,3,2,DEP-014,Occupied
RMN-550468,668,Private,2,1,DEP-018,Available
RMN-553086,735,OR,4,1,DEP-006,Occupied
RMN-553525,143,ICU,4,1,DEP-006,Occupied
RMN-555246,835,Private,5,1,DEP-008,Available
RMN-555529,938,Standard,1,2,DEP-019,Available
RMN-555718,455,ICU,1,1,DEP-019,Available
RMN-560127,256,Standard,1,2,DEP-019,Maintenance
RMN-561240,379,Standard,6,2,DEP-016,Occupied
RMN-562677,141,Private,6,1,DEP-013,Maintenance
RMN-565819,192,OR,4,1,DEP-015,Available
RMN-566754,493,NICU,2,1,DEP-004,Occupied
RMN-567328,343,ICU,2,1,DEP-020,Occupied
RMN-568089,543,Standard,3,2,DEP-003,Available
RMN-568598,781,Standard,3,2,DEP-014,Available
RMN-570743,521,ICU,6,1,DEP-016,Occupied
RMN-572764,329,NICU,6,1,DEP-013,Occupied
RMN-574309,466,Standard,2,2,DEP-020,Occupied
RMN-574422,425,ER,1,2,DEP-019,Available
RMN-575716,976,Recovery,3,2,DEP-014,Occupied
RMN-582091,539,Standard,6,2,DEP-013,Occupied
RMN-582139,940,Standard,2,2,DEP-020,Available
RMN-583999,276,Standard,5,2,DEP-008,Available
RMN-584571,865,ER,4,2,DEP-005,Occupied
RMN-585391,426,ICU,3,1,DEP-014,Occupied
RMN-586524,686,OR,1,1,DEP-001,Occupied
RMN-588863,863,Private,4,1,DEP-006,Available
RMN-593669,183,ICU,4,1,DEP-015,Maintenance
RMN-594410,160,ER,6,2,DEP-016,Available
RMN-597361,527,ICU,2,1,DEP-004,Occupied
RMN-600454,693,ICU,4,1,DEP-005,Available
RMN-601032,974,OR,6,1,DEP-013,Maintenance
RMN-602455,556,Standard,5,2,DEP-008,Available
RMN-607701,931,OR,5,1,DEP-009,Available
RMN-607967,386,Recovery,3,2,DEP-014,Available
RMN-611615,672,Standard,3,2,DEP-003,Occupied
RMN-614493,599,OR,2,1,DEP-004,Occupied
RMN-615241,598,Standard,2,2,DEP-004,Occupied
RMN-617169,949,Standard,3,2,DEP-011,Available
RMN-618165,351,Standard,5,2,DEP-009,Occupied
RMN-619863,892,Private,3,1,DEP-003,Available
RMN-621634,417,Standard,5,2,DEP-009,Occupied
RMN-621899,127,Isolation,6,1,DEP-016,Occupied
RMN-625354,238,Standard,1,2,DEP-012,Available
RMN-627806,317,Private,1,1,DEP-019,Available
RMN-628748,119,Private,2,1,DEP-018,Available
RMN-629120,242,Isolation,6,1,DEP-016,Occupied
RMN-632568,142,Standard,1,2,DEP-012,Available
RMN-633601,748,ICU,4,1,DEP-006,Occupied
RMN-633891,443,Standard,5,2,DEP-008,Available
RMN-633954,893,ICU,1,1,DEP-001,Available
RMN-634324,698,ICU,1,1,DEP-012,Available
RMN-634818,736,OR,3,1,DEP-014,Available
RMN-635460,804,Standard,5,2,DEP-008,Occupied
RMN-637176,906,Standard,4,2,DEP-005,Available
RMN-638080,747,Standard,2,2,DEP-018,Available
RMN-638420,722,Private,1,1,DEP-012,Occupied
RMN-639457,459,Private,4,1,DEP-005,Available
RMN-643253,314,Isolation,6,1,DEP-013,Available
RMN-646248,469,Standard,2,2,DEP-020,Available
RMN-646697,252,ICU,6,1,DEP-013,Available
RMN-649003,941,ICU,3,1,DEP-003,Occupied
RMN-651724,169,Recovery,2,2,DEP-004,Available
RMN-652659,580,ICU,3,1,DEP-003,Available
RMN-652781,286,Standard,1,2,DEP-001,Available
RMN-653557,576,ER,6,2,DEP-013,Occupied
RMN-657022,624,Standard,3,2,DEP-011,Available
RMN-660437,263,Standard,4,2,DEP-015,Occupied
RMN-662319,868,Private,2,1,DEP-018,Available
RMN-663413,161,OR,1,1,DEP-012,Occupied
RMN-665272,380,Standard,2,2,DEP-018,Available
RMN-666222,112,Standard,1,2,DEP-012,Occupied
RMN-667787,760,NICU,4,1,DEP-015,Occupied
RMN-668627,305,Private,2,1,DEP-020,Available
RMN-669938,666,Isolation,4,1,DEP-017,Occupied
RMN-670400,926,ICU,5,1,DEP-009,Occupied
RMN-671047,468,OR,4,1,DEP-017,Available
RMN-671870,566,NICU,1,1,DEP-012,Maintenance
RMN-674104,420,ICU,2,1,DEP-002,Occupied
RMN-674858,606,Standard,1,2,DEP-019,Available
RMN-675893,608,Private,6,1,DEP-016,Occupied
RMN-676374,904,Standard,2,2,DEP-018,Occupied
RMN-676684,268,ICU,6,1,DEP-016,Occupied
RMN-677811,702,Standard,2,2,DEP-002,Occupied
RMN-683076,406,Standard,5,2,DEP-009,Available
RMN-685213,857,Standard,6,2,DEP-013,Occupied
RMN-685266,762,OR,3,1,DEP-011,Available
RMN-692600,297,ICU,4,1,DEP-005,Available
RMN-692966,240,ICU,6,1,DEP-010,Occupied
RMN-694171,253,ICU,3,1,DEP-003,Occupied
RMN-694650,615,ICU,5,1,DEP-009,Available
RMN-698947,107,Private,2,1,DEP-020,Occupied
RMN-701739,966,ICU,4,1,DEP-017,Occupied
RMN-701825,310,Standard,3,2,DEP-011,Available
RMN-702379,189,ER,5,2,DEP-009,Available
RMN-702454,208,ER,1,2,DEP-001,Occupied
RMN-704839,117,Recovery,2,2,DEP-002,Available
RMN-705018,396,Standard,3,2,DEP-007,Occupied
RMN-705452,294,NICU,4,1,DEP-005,Available
RMN-714056,690,ICU,1,1,DEP-019,Occupied
RMN-714553,327,Standard,1,2,DEP-019,Available
RMN-717962,676,Standard,1,2,DEP-019,Occupied
RMN-718213,249,NICU,1,1,DEP-019,Available
RMN-724835,988,Standard,3,2,DEP-011,Available
RMN-725074,761,Standard,4,2,DEP-005,Occupied
RMN-727062,306,NICU,3,1,DEP-011,Occupied
RMN-729879,607,NICU,2,1,DEP-004,Available
RMN-731456,100,OR,1,1,DEP-001,Available
RMN-731935,968,OR,3,1,DEP-014,Occupied
RMN-732742,700,OR,3,1,DEP-014,Available
RMN-734159,837,Standard,3,2,DEP-007,Occupied
RMN-736204,410,Standard,3,2,DEP-007,Occupied
RMN-738420,154,Standard,2,2,DEP-018,Available
RMN-738903,912,Standard,2,2,DEP-018,Maintenance
RMN-738906,507,Standard,4,2,DEP-005,Occupied
RMN-740662,289,Standard,1,2,DEP-019,Available
RMN-742344,987,Recovery,3,2,DEP-003,Occupied
RMN-743019,573,NICU,2,1,DEP-002,Available
RMN-743054,449,Standard,6,2,DEP-016,Maintenance
RMN-743474,623,ICU,5,1,DEP-009,Occupied
RMN-747659,874,Standard,1,2,DEP-019,Available
RMN-749185,282,OR,1,1,DEP-019,Available
RMN-749708,362,Private,2,1,DEP-018,Available
RMN-750810,155,OR,3,1,DEP-007,Available
RMN-751588,650,ER,4,2,DEP-017,Available
RMN-752698,366,Standard,5,2,DEP-009,Available
RMN-753843,779,Standard,6,2,DEP-016,Available
RMN-755967,300,Private,2,1,DEP-020,Available
RMN-756712,122,Private,6,1,DEP-010,Occupied
RMN-758403,665,OR,6,1,DEP-010,Available
RMN-760076,554,Private,4,1,DEP-006,Occupied
RMN-762979,942,ER,2,2,DEP-018,Occupied
RMN-764295,821,NICU,2,1,DEP-018,Occupied
RMN-767767,740,ER,2,2,DEP-004,Maintenance
RMN-768498,621,Recovery,4,2,DEP-017,Available
RMN-769569,886,OR,3,1,DEP-011,Available
RMN-771582,309,Standard,3,2,DEP-014,Available
RMN-772089,267,Recovery,3,2,DEP-003,Available
RMN-772676,328,Standard,6,2,DEP-013,Available
RMN-775062,984,OR,5,1,DEP-009,Available
RMN-775261,927,Standard,6,2,DEP-016,Available
RMN-778576,699,Private,2,1,DEP-018,Occupied
RMN-783457,474,Isolation,6,1,DEP-013,Available
RMN-783818,918,Isolation,3,1,DEP-003,Occupied
RMN-784320,164,ICU,2,1,DEP-018,Available
RMN-785347,298,Standard,3,2,DEP-007,Available
RMN-786194,355,ICU,4,1,DEP-015,Available
RMN-786561,560,Standard,3,2,DEP-014,Occupied
RMN-790099,234,Standard,4,2,DEP-005,Occupied
RMN-790786,358,Standard,4,2,DEP-005,Occupied
RMN-794050,670,Standard,2,2,DEP-020,Occupied
RMN-794060,870,Standard,4,2,DEP-005,Available
RMN-794524,908,Private,4,1,DEP-017,Available
RMN-794601,820,NICU,3,1,DEP-011,Available
RMN-794871,498,Standard,2,2,DEP-004,Occupied
RMN-802281,461,ICU,4,1,DEP-005,Available
RMN-804071,352,Standard,4,2,DEP-015,Occupied
RMN-805016,270,Standard,4,2,DEP-017,Available
RMN-805293,972,Private,4,1,DEP-017,Occupied
RMN-806225,129,Standard,3,2,DEP-003,Available
RMN-806880,979,Private,1,1,DEP-001,Available
RMN-807879,889,Private,5,1,DEP-009,Maintenance
RMN-811972,910,Standard,1,2,DEP-012,Available
RMN-812153,529,ICU,5,1,DEP-008,Available
RMN-814321,963,Standard,4,2,DEP-017,Available
RMN-820432,513,Standard,2,2,DEP-004,Occupied
RMN-820735,881,Standard,2,2,DEP-018,Available
RMN-821158,587,Standard,3,2,DEP-011,Occupied
RMN-824745,920,OR,6,1,DEP-016,Occupied
RMN-826131,533,Private,3,1,DEP-014,Occupied
RMN-828595,840,Standard,4,2,DEP-015,Occupied
RMN-828767,299,Private,2,1,DEP-004,Available
RMN-828909,397,NICU,3,1,DEP-003,Occupied
RMN-829594,422,NICU,1,1,DEP-012,Occupied
RMN-830982,321,Private,6,1,DEP-016,Occupied
RMN-832864,867,ICU,1,1,DEP-001,Available
RMN-834665,447,Recovery,2,2,DEP-020,Occupied
RMN-840060,916,ER,5,2,DEP-008,Occupied
RMN-843101,873,ICU,6,1,DEP-010,Available
RMN-846161,957,Private,3,1,DEP-003,Available
RMN-848234,550,Standard,6,2,DEP-016,Available
RMN-852678,391,OR,4,1,DEP-006,Occupied
RMN-854367,322,Standard,1,2,DEP-001,Occupied
RMN-868084,274,Isolation,2,1,DEP-018,Available
RMN-868198,860,Isolation,5,1,DEP-009,Available
RMN-869024,439,Standard,2,2,DEP-020,Occupied
RMN-872740,753,Standard,1,2,DEP-001,Available
RMN-873474,572,OR,3,1,DEP-003,Available
RMN-874136,929,ICU,1,1,DEP-001,Occupied
RMN-875051,387,Standard,6,2,DEP-010,Occupied
RMN-875373,782,Private,5,1,DEP-008,Occupied
RMN-875449,457,Standard,3,2,DEP-011,Available
RMN-877771,842,Standard,1,2,DEP-001,Available
RMN-878150,415,ICU,6,1,DEP-016,Occupied
RMN-878225,759,Standard,5,2,DEP-009,Available
RMN-878517,418,ICU,1,1,DEP-001,Occupied
RMN-878835,303,ICU,2,1,DEP-018,Occupied
RMN-881651,481,Standard,2,2,DEP-002,Occupied
RMN-881927,619,Private,2,1,DEP-018,Occupied
RMN-882939,734,Private,3,1,DEP-003,Occupied
RMN-884641,497,OR,3,1,DEP-003,Available
RMN-884757,895,Private,6,1,DEP-013,Available
RMN-884875,971,Standard,3,2,DEP-011,Occupied
RMN-887266,205,Standard,4,2,DEP-006,Occupied
RMN-888074,430,Standard,2,2,DEP-018,Occupied
RMN-888177,330,Private,2,1,DEP-020,Occupied
RMN-889781,545,ICU,5,1,DEP-009,Available
RMN-890953,235,Private,6,1,DEP-016,Maintenance
RMN-891249,116,Standard,2,2,DEP-004,Occupied
RMN-893285,843,Standard,2,2,DEP-004,Occupied
RMN-894095,491,Standard,1,2,DEP-001,Available
RMN-897490,510,OR,5,1,DEP-008,Occupied
RMN-899469,921,ICU,2,1,DEP-020,Available
RMN-901579,247,ICU,2,1,DEP-018,Available
RMN-903621,333,Private,2,1,DEP-020,Available
RMN-904810,277,Private,3,1,DEP-007,Available
RMN-904859,770,Standard,3,2,DEP-007,Occupied
RMN-905837,505,NICU,5,1,DEP-009,Occupied
RMN-906303,585,Private,5,1,DEP-008,Occupied
RMN-906696,517,Standard,6,2,DEP-010,Maintenance
RMN-911054,900,Standard,2,2,DEP-004,Available
RMN-916071,612,Standard,6,2,DEP-016,Available
RMN-923889,552,Standard,6,2,DEP-013,Occupied
RMN-924054,930,OR,4,1,DEP-005,Available
RMN-926134,223,ICU,4,1,DEP-015,Occupied
RMN-928131,126,Standard,1,2,DEP-001,Available
RMN-928977,536,Standard,3,2,DEP-003,Available
RMN-929087,903,Standard,4,2,DEP-006,Occupied
RMN-929526,825,Private,4,1,DEP-015,Occupied
RMN-929911,571,Private,6,1,DEP-016,Occupied
RMN-933093,947,Standard,2,2,DEP-004,Occupied
RMN-935775,171,OR,1,1,DEP-019,Available
RMN-935983,255,Recovery,6,2,DEP-013,Available
RMN-936001,562,OR,2,1,DEP-020,Occupied
RMN-936939,204,Private,2,1,DEP-018,Available
RMN-937297,975,Isolation,3,1,DEP-007,Occupied
RMN-938361,103,Standard,6,2,DEP-013,Available
RMN-938369,163,Recovery,1,2,DEP-012,Occupied
RMN-940199,378,ER,4,2,DEP-017,Maintenance
RMN-940844,515,Private,3,1,DEP-011,Available
RMN-942081,222,Isolation,5,1,DEP-009,Available
RMN-942312,448,Standard,4,2,DEP-015,Available
RMN-946973,288,OR,3,1,DEP-007,Occupied
RMN-949153,713,Recovery,3,2,DEP-014,Available
RMN-949576,671,Private,5,1,DEP-008,Available
RMN-951915,407,ICU,4,1,DEP-015,Available
RMN-952925,258,ICU,2,1,DEP-002,Available
RMN-956570,341,Private,3,1,DEP-014,Maintenance
RMN-956670,291,OR,3,1,DEP-011,Available
RMN-956674,658,Standard,3,2,DEP-014,Occupied
RMN-957186,952,Private,1,1,DEP-019,Occupied
